Month,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Jan,-29,-8,10,-32,-17,-64,-41,-65,-42,-19,-46,-45,-24,-67,-54,-43,-22,-22,-7,-17,-39,-28,-18,-27,-63,-37,-29,-43,-44,-69,-44,-63,-27,-40,2,-19,-19,-46,-43,-17,-14,-2,-31,-25,-21,-32,22,-26,-2,-46,-28,-10,14,-31,-25,-37,-28,-7,3,-12,-13,13,29,1,42,15,17,-8,6,10,-27,-35,16,9,-27,12,-16,-13,37,6,-2,7,7,-3,-6,-9,-16,-7,-22,-11,10,-3,-26,27,-14,8,-1,17,8,15,30,55,9,53,31,22,30,36,57,16,40,42,45,37,31,51,27,33,61,48,26,45,74,72,58,72,57,97,27,62,73,50,45,67,74,82
Feb,-19,-13,10,-41,-11,-29,-45,-47,-42,15,-48,-48,-14,-50,-31,-42,-15,-19,-33,-39,-6,-4,-2,-5,-54,-58,-32,-50,-35,-46,-43,-60,-14,-43,-13,-1,-21,-55,-31,-20,-22,-20,-40,-35,-25,-32,8,-19,-10,-57,-23,-20,-17,-30,-3,12,-39,7,-2,-11,6,23,7,23,32,5,6,-4,-12,-16,-27,-43,13,16,-10,-21,-25,-6,23,9,13,19,15,18,-11,-17,-1,-19,-14,-14,23,-21,-17,31,-28,7,-6,21,12,-7,42,41,16,41,18,-5,38,46,42,35,41,50,42,39,3,78,49,37,89,67,59,47,76,55,70,59,71,70,36,54,79,51,49,57,50,88
Mar,-17,2,2,-17,-33,-23,-41,-31,-47,4,-41,-14,-35,-23,-21,-29,-29,-13,-56,-35,2,6,-28,-22,-45,-24,-14,-24,-57,-51,-47,-63,-37,-43,-22,-9,-29,-48,-20,-25,-6,-26,-12,-29,-11,-21,13,-37,-27,-34,-9,-6,-19,-27,-28,-13,-24,-16,6,-19,12,6,12,3,35,11,0,7,-23,-1,-8,-19,-9,11,-12,-35,-22,-6,9,20,-36,10,11,-15,-24,-12,4,4,21,1,8,-19,3,25,-5,14,-21,24,21,18,29,49,-2,42,29,17,29,17,49,36,76,35,47,36,26,45,34,51,62,33,59,58,91,57,66,69,64,70,75,53,92,64,57,65,77,90
Apr,-27,-2,-19,-23,-35,-44,-28,-37,-28,5,-38,-25,-34,-32,-40,-22,-32,-1,-34,-21,-14,-5,-26,-39,-50,-36,-2,-40,-45,-59,-38,-55,-21,-36,-27,8,-24,-38,-38,-18,-25,-34,-20,-37,-33,-24,-13,-31,-28,-41,-24,-20,-8,-23,-26,-34,-19,-16,5,-12,16,11,14,15,27,25,12,5,-9,-7,-21,-11,2,20,-18,-22,-27,-2,2,17,-17,15,5,-5,-30,-20,-14,-6,-5,18,9,-11,-1,26,-10,6,-9,26,14,12,33,32,9,30,10,10,26,26,44,33,54,51,23,27,40,47,36,37,64,34,59,52,59,55,62,70,49,75,53,61,87,66,69,54,78,74
May,-13,-3,-17,-24,-31,-41,-27,-33,-21,-3,-48,-17,-24,-34,-29,-23,-19,0,-36,-20,-4,-17,-29,-41,-50,-33,-20,-45,-39,-54,-33,-52,-20,-45,-19,-1,-26,-48,-36,-18,-24,-34,-33,-31,-17,-29,-23,-24,-28,-38,-24,-21,-22,-25,-10,-25,-15,-6,-7,-7,6,10,15,11,26,11,-2,-6,6,-10,-12,-1,-5,9,-20,-20,-27,7,7,5,-9,14,-6,-10,-26,-14,-9,12,-10,19,-5,-7,-1,26,0,17,-23,30,7,6,35,23,15,36,34,18,26,26,44,17,46,39,32,27,29,29,29,38,71,33,40,59,65,63,42,64,47,69,51,64,75,53,76,61,86,76
Jun,-28,-27,-24,-11,-37,-50,-39,-20,-20,-11,-27,-21,-18,-22,-43,-24,-13,-13,-21,-26,-13,-9,-33,-43,-49,-30,-20,-42,-37,-52,-36,-47,-26,-45,-21,-14,-41,-39,-27,-26,-31,-29,-31,-22,-26,-32,-24,-26,-40,-42,-17,-5,-29,-31,-13,-22,-18,-7,-17,-8,6,4,12,1,21,3,-15,-2,-5,-25,-8,-7,-4,8,-15,-7,-15,14,-6,3,0,11,5,3,-9,-10,3,-8,-5,4,-1,-18,4,16,-5,0,-15,25,-2,14,18,31,4,19,6,17,14,36,42,15,38,54,24,23,41,44,26,54,77,37,43,54,55,48,42,66,64,59,48,67,64,59,62,65,66,80
Jul,-22,-5,-9,-7,-33,-28,-15,-18,-8,-5,-29,-21,-26,-12,-31,-16,-5,-4,-23,-13,-6,-7,-25,-29,-47,-24,-25,-34,-33,-42,-31,-40,-40,-33,-23,-1,-31,-21,-19,-19,-30,-14,-24,-27,-25,-27,-19,-13,-19,-32,-14,2,-23,-19,-10,-18,-5,-3,-8,-5,11,16,3,15,23,8,-7,-3,-13,-13,-9,-2,6,3,-16,-7,-11,0,3,5,-3,-4,-2,9,-7,-10,8,-1,-10,-2,-4,-13,2,9,-3,-2,-10,23,7,2,28,35,13,15,15,2,13,47,35,33,43,51,13,27,31,49,35,37,70,41,42,60,61,55,27,66,55,62,60,73,61,74,56,59,58,
Aug,-6,-1,5,-12,-25,-27,-31,-27,-10,-18,-35,-20,-18,-22,-26,-15,-8,-3,-23,-4,-3,-11,-27,-43,-42,-20,-18,-36,-44,-30,-33,-42,-51,-31,-13,-14,-25,-25,-24,-18,-27,-22,-29,-28,-32,-17,-9,-18,-24,-28,-9,0,-23,-22,-9,-16,-11,4,-3,-4,1,15,-2,4,23,26,-9,-7,-9,-9,-18,6,8,9,-12,7,-26,14,-6,-1,0,0,-3,23,-22,-1,-11,3,-11,3,-10,-3,18,2,11,-21,-16,20,-19,14,26,33,9,31,15,15,12,28,44,35,30,42,10,14,22,49,50,42,69,35,43,50,55,66,45,63,71,61,45,68,65,73,64,66,82,
Sep,-16,-8,0,-18,-22,-19,-18,-19,-7,-18,-36,-13,-24,-17,-22,-1,-3,-4,-20,-2,2,-16,-20,-42,-46,-14,-24,-31,-32,-37,-36,-38,-47,-32,-13,-11,-28,-17,-13,-16,-18,-16,-27,-26,-29,-12,-10,-5,-19,-23,-10,-6,-12,-26,-15,-17,-5,15,4,1,12,3,0,12,31,22,-2,-14,-13,-9,-10,4,8,6,-7,-14,-19,8,-5,-5,4,5,-2,20,-28,-12,-2,-4,-19,10,11,0,4,6,-14,-2,-9,2,6,26,22,18,16,38,19,15,2,40,41,37,29,48,-1,11,34,34,26,55,46,43,43,56,64,67,53,77,64,65,64,69,61,56,75,77,90,
Oct,-15,-18,-21,-11,-22,-19,-25,-32,2,-22,-23,-23,-15,-15,-16,-10,6,-9,-33,0,10,-27,-26,-41,-34,-22,-20,-23,-42,-39,-38,-25,-55,-33,-5,-21,-27,-34,-2,-14,-27,-5,-30,-10,-34,-16,-10,1,-18,-14,-8,0,-9,-23,-10,-7,-2,10,13,-3,8,25,8,31,28,22,-6,7,-6,-3,-18,9,-3,5,0,-5,-24,0,3,-9,8,0,-4,14,-30,-4,-15,7,11,9,4,-6,7,12,-7,-9,-26,5,1,26,19,14,14,16,15,13,14,33,38,33,42,31,10,23,42,49,21,65,46,42,29,52,57,75,67,80,70,61,67,65,71,67,79,70,86,
Nov,-18,-25,-20,-19,-30,-22,-26,-25,0,-30,-37,-36,-49,-16,-24,-15,-15,-18,-35,12,-12,-15,-35,-38,-16,-7,-38,-50,-50,-32,-55,-19,-37,-17,-20,-12,-42,-28,-14,-29,-32,-15,-15,5,-21,5,-6,-3,-9,-14,15,-10,-26,-31,0,-27,-4,11,3,7,13,13,14,27,14,10,-1,0,-9,-8,-34,1,-16,-5,9,-28,-16,6,2,-9,-12,2,6,16,-21,-6,-2,-6,-5,12,1,-5,1,5,-7,-16,-6,20,18,29,29,22,14,31,4,10,11,26,11,19,45,31,4,7,46,44,41,65,49,41,33,71,59,55,72,75,73,57,67,78,79,56,74,81,68,
Dec,-20,-14,-24,-17,-28,-5,-24,-37,-11,-29,-29,1,-27,-36,-21,-11,-11,-26,-21,-26,-13,-28,-45,-46,-28,-20,-16,-49,-49,-53,-68,-24,-40,-3,-9,-24,-77,-70,-27,-33,-44,-17,-15,-3,-40,11,-29,-35,-19,-53,-7,-9,-22,-45,-7,-20,-1,-9,-23,41,20,15,14,29,8,-8,-27,-15,-20,-15,-19,16,-2,4,-16,-32,-10,16,0,-2,18,-15,-1,0,-30,-6,-6,-2,-14,27,-14,-8,18,-6,-10,-17,8,5,11,48,20,40,43,17,-6,16,16,48,33,36,41,33,22,19,36,30,40,59,58,48,30,55,42,74,52,68,78,49,55,65,49,53,52,67,79,
J.D,-19,-10,-9,-19,-27,-31,-30,-33,-20,-11,-36,-23,-26,-29,-30,-21,-14,-11,-28,-16,-8,-13,-26,-35,-44,-27,-21,-39,-42,-47,-42,-44,-35,-33,-15,-10,-33,-39,-24,-21,-25,-19,-26,-22,-26,-19,-8,-20,-20,-35,-13,-9,-16,-28,-13,-19,-14,-1,-2,-3,8,13,10,14,26,13,-3,-3,-9,-9,-18,-7,1,8,-12,-14,-20,3,6,3,-3,5,3,6,-20,-10,-5,-2,-7,6,3,-9,1,15,-8,-1,-11,18,7,17,28,33,13,31,16,12,19,34,40,29,44,42,23,24,32,46,35,48,63,42,42,55,63,62,55,69,64,66,54,65,71,60,63,66,75,81
D.N,,-11,-8,-20,-26,-33,-28,-32,-22,-9,-36,-26,-23,-28,-31,-22,-14,-10,-29,-16,-9,-12,-25,-34,-45,-28,-22,-36,-42,-47,-41,-48,-33,-37,-15,-9,-28,-40,-28,-21,-24,-22,-26,-24,-23,-23,-5,-19,-21,-32,-17,-8,-15,-26,-16,-18,-16,-1,-1,-8,10,13,10,13,28,14,-1,-4,-9,-9,-17,-10,3,7,-10,-13,-22,1,7,3,-5,8,1,6,-18,-12,-5,-3,-6,3,6,-10,-1,17,-7,-1,-13,19,7,14,30,31,13,33,18,11,19,31,41,29,43,43,24,24,30,46,34,46,64,43,44,53,64,59,57,68,63,69,53,64,73,60,63,64,74,
DJF,,-13,2,-32,-15,-41,-30,-46,-40,-5,-41,-41,-12,-48,-40,-35,-16,-17,-22,-26,-24,-15,-16,-25,-54,-41,-27,-36,-43,-55,-47,-63,-22,-41,-5,-10,-21,-59,-48,-21,-23,-22,-29,-25,-16,-35,14,-25,-16,-41,-35,-12,-4,-27,-25,-11,-29,-1,-3,-15,11,19,17,12,34,10,5,-13,-7,-9,-23,-32,15,8,-11,-8,-24,-9,25,5,3,15,2,5,-6,-19,-8,-11,-13,-13,20,-13,-17,25,-16,1,-8,15,9,6,40,39,22,45,22,4,28,33,49,28,39,44,40,33,18,55,35,37,70,58,44,41,68,57,67,61,65,82,37,57,72,50,49,58,64,83
MAM,-19,-1,-11,-22,-33,-36,-32,-33,-32,2,-42,-19,-31,-30,-30,-24,-27,-5,-42,-25,-5,-5,-28,-34,-48,-31,-12,-36,-47,-55,-39,-56,-26,-41,-23,-1,-26,-45,-31,-20,-18,-32,-21,-33,-20,-25,-8,-31,-28,-38,-19,-16,-16,-25,-22,-24,-20,-13,2,-13,11,9,13,9,30,16,3,2,-9,-6,-14,-10,-4,13,-16,-26,-25,0,6,14,-20,13,3,-10,-27,-15,-6,4,2,13,4,-12,0,25,-5,12,-18,27,14,12,32,35,7,36,24,15,27,23,46,29,58,42,34,30,32,40,33,42,65,33,53,57,71,58,57,68,53,71,60,59,85,61,67,60,81,80
JJA,-19,-11,-9,-10,-32,-35,-28,-21,-13,-11,-30,-21,-21,-19,-33,-18,-9,-7,-22,-14,-7,-9,-28,-38,-46,-24,-21,-37,-38,-41,-33,-43,-39,-36,-19,-10,-33,-28,-23,-21,-29,-21,-28,-26,-28,-25,-17,-19,-27,-34,-14,-1,-25,-24,-11,-19,-11,-2,-9,-5,6,12,4,7,22,13,-10,-4,-9,-16,-12,-1,3,6,-14,-2,-17,9,-3,2,-1,2,0,11,-13,-7,0,-2,-9,2,-5,-11,8,9,1,-8,-14,23,-5,10,24,33,9,22,12,11,13,37,40,27,37,49,16,21,32,47,37,44,72,38,43,55,57,57,38,65,63,61,51,69,63,69,61,63,69,
SON,-16,-17,-14,-16,-25,-20,-23,-26,-2,-23,-32,-24,-29,-16,-21,-9,-4,-10,-29,3,0,-19,-27,-40,-32,-14,-27,-35,-41,-36,-43,-28,-47,-27,-12,-15,-32,-26,-10,-20,-25,-12,-24,-11,-28,-8,-8,-2,-15,-17,-1,-5,-16,-27,-8,-17,-3,12,6,2,11,14,7,23,24,18,-3,-2,-9,-7,-21,5,-4,2,1,-15,-19,5,0,-8,0,2,0,17,-26,-7,-6,-1,-4,10,6,-4,4,8,-9,-9,-14,9,8,27,23,18,14,28,13,13,9,33,30,30,39,37,5,14,41,43,29,62,47,42,35,59,60,66,64,77,69,61,66,71,71,60,76,76,81,
